Date,Close,High,Low,Open,Volume
7/14/2021,1039.220337,1057.902444,1039.220337,1057.902444,3929200
7/15/2021,1023.23938,1039.220461,1020.988523,1037.644862,4119600
7/16/2021,1032.0177,1048.448953,1023.464446,1025.490216,4618400
7/19/2021,1004.107117,1017.38717,991.9524912,1012.885457,5564000
7/20/2021,983.8493652,995.7789046,979.3476523,993.7531337,4470400
7/21/2021,1021.663818,1055.651753,1002.081366,1015.36142,15650800
7/26/2021,1008.158569,1038.094959,1003.431771,1025.490163,7495600
7/27/2021,1020.313293,1026.390606,1012.885467,1014.010895,4036000
7/28/2021,1013.560913,1020.988741,1004.557485,1004.557485,4232800
7/29/2021,998.7050171,1018.73764,995.1036467,1008.3837,5443600
7/30/2021,997.1294556,1003.882025,990.8270572,995.553856,3818000
8/2/2021,1010.634399,1018.28731,1003.656745,1007.708286,3146800
8/3/2021,1002.981567,1011.984993,996.2289985,1001.180882,2912800
8/4/2021,1015.586548,1016.711976,996.9044372,998.4800369,3677600
8/5/2021,1010.85968,1013.560708,1004.332196,1008.833909,2718800
8/6/2021,1048.448975,1064.880227,1005.457615,1018.062411,9460000
8/10/2021,1033.368164,1047.323474,1022.113882,1032.917993,6680000
8/11/2021,1086.713623,1093.916365,1048.89923,1049.124316,11892000
8/12/2021,1104.045166,1112.823507,1084.912885,1084.912885,7109200
8/13/2021,1100.44397,1106.971455,1088.514428,1102.244655,5193200
8/16/2021,1081.536499,1086.263297,1073.658502,1076.134444,4759600
8/17/2021,1048.448975,1088.06405,1047.998803,1081.31148,5029200
8/18/2021,1061.278809,1071.182577,1049.799441,1051.600126,3396800
8/19/2021,1055.201172,1078.384986,1053.175402,1059.702883,4418000
8/20/2021,1000.05542,1045.972887,998.2547349,1041.921346,7506800
8/23/2021,1018.737732,1036.069328,1006.808192,1023.464531,5341600
8/24/2021,1031.117554,1040.796238,1018.962926,1027.516183,4328400
8/25/2021,1044.172485,1054.751512,1033.593458,1037.194829,2821200
8/26/2021,1034.49353,1049.124096,1029.541647,1044.397298,3788400
8/27/2021,1047.323486,1050.474685,1019.637953,1021.888809,3396000
8/30/2021,1063.529663,1066.905948,1052.950638,1057.677436,3991200
8/31/2021,1070.507324,1072.758181,1045.297732,1054.976415,4644000
9/1/2021,1070.057251,1085.588162,1065.555538,1071.857936,4756400
9/2/2021,1062.404419,1082.437045,1060.603733,1072.75836,3926000
9/3/2021,1082.661865,1086.03815,1060.828559,1062.404159,4712400
9/6/2021,1108.546997,1108.546997,1081.086544,1090.540142,4548400
9/7/2021,1132.180664,1144.110202,1123.177239,1126.103352,6691600
9/8/2021,1137.357788,1141.859501,1109.897339,1117.550251,5039200
9/9/2021,1118.000488,1137.808027,1111.923175,1129.254771,4342800
9/10/2021,1139.608765,1143.210135,1112.148312,1112.148312,7954800
9/13/2021,1128.129395,1142.309792,1122.727338,1131.055508,4498000
9/14/2021,1156.48999,1173.821584,1136.90754,1144.785537,8270400
9/15/2021,1147.261719,1159.19126,1144.335605,1146.13629,3707600
9/16/2021,1155.364868,1171.796124,1148.387212,1160.541839,4571200
9/17/2021,1168.869629,1174.721855,1154.689235,1169.995057,7132800
9/21/2021,1144.785767,1156.265136,1140.058967,1144.11051,5560000
9/22/2021,1136.682495,1148.386949,1128.129241,1145.685921,3999600
9/24/2021,1165.943604,1166.61886,1142.084526,1147.486581,6546000
9/27/2021,1153.564087,1181.924882,1152.438659,1169.54517,4739200
9/28/2021,1168.194458,1179.898911,1137.13264,1146.361151,7261600
9/29/2021,1172.73584,1180.682743,1160.020795,1167.740644,5652000
9/30/2021,1134.136475,1173.870986,1133.455312,1173.189823,7436400
10/1/2021,1094.629028,1123.237877,1088.725615,1122.783768,5563600
10/4/2021,1092.812622,1114.836895,1087.817426,1101.894796,3904000
10/5/2021,1080.097412,1087.36315,1063.749501,1070.788185,4553200
10/6/2021,1060.797852,1083.730339,1048.082809,1077.372818,6155200
10/7/2021,1068.971558,1072.83148,1044.676749,1044.903804,6442800
10/8/2021,1095.536987,1121.421177,1094.174662,1100.759236,8226800
10/11/2021,1130.276489,1131.184707,1096.672447,1099.851208,3872400
10/12/2021,1137.769287,1145.035026,1130.503548,1130.957657,5210000
10/13/2021,1149.576172,1157.29602,1137.542291,1137.542291,4515200
10/14/2021,1143.672729,1157.523044,1130.730632,1147.986762,4215600
10/15/2021,1169.102783,1171.600381,1156.614795,1156.614795,4040400
10/18/2021,1197.484619,1207.020902,1190.21888,1191.80826,6724800
10/19/2021,1189.53772,1206.79385,1185.450741,1202.252763,4138800
10/20/2021,1192.035278,1209.972571,1189.764735,1207.247919,4479600
10/21/2021,1163.199341,1199.982143,1160.474689,1193.170513,4014800
10/22/2021,1160.247681,1167.059311,1151.619616,1160.020626,4419600
10/25/2021,1146.85144,1158.658266,1136.179887,1140.720973,5951600
10/26/2021,1168.648804,1178.639196,1164.561825,1166.832369,5898000
10/27/2021,1167.51355,1168.648822,1150.257418,1165.243006,7188000
10/28/2021,1163.65332,1173.416655,1141.401998,1152.527659,26310400
10/29/2021,1152.300659,1164.788647,1136.406857,1159.793452,5143200
11/1/2021,1191.126953,1192.03517,1172.281445,1177.049585,5123200
11/2/2021,1191.354126,1206.112658,1176.595594,1196.576376,4258400
11/4/2021,1231.088501,1231.088501,1207.247798,1214.059427,6362000
11/5/2021,1229.953247,1239.943637,1217.238205,1234.040225,5064800
11/8/2021,1236.537842,1253.339862,1231.088538,1237.446059,3784400
